20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
0;3;21.509669811320755;Ucp1 WT;female;Mean;
84;4;24.285714285714285;Ucp1 KO;female;Mean;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
01/01/2000;12:00;3;female;99,61674528301889;79,61438679245283;21,509669811320755
01/01/2000;12:10;3;female;96,01415094339625;76,91863207547169;21,509669811320755
01/01/2000;12:30;3;female;93,15448113207547;75,04363207547169;21,509669811320755
01/01/2000;12:40;3;female;91,22759433962264;73,66391509433963;21,509669811320755
01/01/2000;13:00;3;female;88,45808736717828;72,00236127508855;21,50850059031877
01/01/2000;13:10;3;female;86,50885478158206;70,56316410861865;21,50850059031877
01/01/2000;13:30;3;female;84,42739079102715;69,18772136953955;21,50850059031877
01/01/2000;13:40;3;female;82,83372641509433;68,02122641509433;21,509669811320755
01/01/2000;14:00;3;female;81,05188679245283;66,61910377358491;21,509669811320755
01/01/2000;14:10;3;female;79,9127358490566;65,72405660377359;21,509669811320755
01/01/2000;14:30;3;female;78,08018867924528;64,10849056603773;21,509669811320755
01/01/2000;14:40;3;female;77,04834905660377;63,45400943396226;21,509669811320755
01/01/2000;15:00;3;female;76,81485849056604;63,37146226415094;21,509669811320755
01/01/2000;15:10;3;female;76,47051886792453;63,2688679245283;21,509669811320755
01/01/2000;15:30;3;female;75,79481132075472;62,78183962264151;21,509669811320755
01/01/2000;15:40;3;female;75,6379716981132;62,91155660377358;21,509669811320755
01/01/2000;16:00;3;female;75,83136792452831;63,125;21,509669811320755
01/01/2000;16:10;3;female;75,94575471698113;63,29009433962264;21,509669811320755
01/01/2000;16:30;3;female;76,39504716981132;64,08608490566037;21,509669811320755
01/01/2000;16:40;3;female;78,57900943396227;66,31721698113208;21,509669811320755
01/01/2000;17:00;3;female;86,80778301886792;73,93632075471699;21,509669811320755
01/01/2000;17:10;3;female;91,81485849056604;78,66627358490567;21,509669811320755
01/01/2000;17:30;3;female;93,123820754717;79,82665094339623;21,509669811320755
01/01/2000;17:40;3;female;93,46816037735849;79,99882075471699;21,509669811320755
01/01/2000;18:00;3;female;95,0495283018868;81,2252358490566;21,509669811320755
01/01/2000;18:10;3;female;94,83136792452832;81,2004716981132;21,509669811320755
01/01/2000;18:30;3;female;94,80188679245283;81,39504716981132;21,509669811320755
01/01/2000;18:40;3;female;94,44457547169812;81,38207547169812;21,509669811320755
01/01/2000;19:00;3;female;94,85613207547168;82,16155660377359;21,509669811320755
01/01/2000;19:10;3;female;95,44457547169812;82,87382075471699;21,509669811320755
01/01/2000;19:30;3;female;95,123820754717;83,04834905660377;21,509669811320755
